Date,Open,High,Low,Close,Volume
2025-04-09,7890,7930,7690,7750,24044
2025-04-10,7830,8010,7780,7990,43358
2025-04-11,7950,8080,7880,8040,14367
2025-04-14,8040,8070,7930,8070,17690
2025-04-15,8060,8100,8020,8100,15819
2025-04-16,8110,8120,7990,8090,8923
2025-04-17,8090,8270,8060,8260,28595
2025-04-18,8260,8270,8140,8160,13482
2025-04-21,8160,8330,8100,8300,39338
2025-04-22,8290,8580,8260,8520,35543
2025-04-23,8520,8650,8470,8530,24110
2025-04-24,8560,8610,8460,8600,48507
2025-04-25,8610,8630,8530,8580,7696
2025-04-28,8580,8610,8470,8580,40845
2025-04-29,8600,8670,8540,8670,20344
2025-04-30,8670,8710,8610,8660,13045
2025-05-02,8660,8720,8570,8660,50318
2025-05-07,8660,8660,8510,8560,17729
2025-05-08,8590,8720,8540,8660,33002
2025-05-09,8690,8910,8630,8880,49646
2025-05-12,8880,9160,8830,9140,50483
2025-05-13,9150,9270,9140,9170,26918
2025-05-14,9260,9450,9230,9290,63716
2025-05-15,9380,9430,9270,9390,51227
2025-05-16,9430,9430,9320,9350,26285
2025-05-19,9350,9440,9150,9360,53576
2025-05-20,9360,9490,9330,9370,25691
2025-05-21,9460,9490,9330,9350,18751
2025-05-22,9350,9420,9250,9370,23184
2025-05-23,9440,9480,9310,9380,18709
2025-05-26,9350,9480,9320,9450,39249
2025-05-27,9450,9500,9325,9330,50104
2025-05-28,9400,9490,9300,9450,23812
2025-05-29,9480,10060,9420,9970,90480
2025-05-30,9850,10440,9850,10420,92804
2025-06-02,10490,10670,10420,10550,56415
2025-06-04,10580,11170,10570,11110,85990
2025-06-05,11120,11530,11080,11500,86494
2025-06-09,11820,12440,11780,11980,139951
2025-06-10,12010,12010,11120,11270,138914
2025-06-11,11340,11340,10990,11180,57725
2025-06-12,11290,11900,10920,11070,210804
2025-06-13,11170,11220,10600,10700,77223
2025-06-16,10700,11000,10590,10890,48722
2025-06-17,10980,11320,10890,11300,119193
2025-06-18,11300,11400,11100,11300,119008
2025-06-19,11310,11470,11180,11310,33492
2025-06-20,11310,11320,10990,11120,64211
2025-06-23,11100,11100,10750,10990,38038
2025-06-24,11030,11320,10950,10970,46648
2025-06-25,10970,11100,10730,11040,64995
2025-06-26,11100,11100,10500,10700,56693
2025-06-27,10720,11140,10720,10910,69221
2025-06-30,10980,11000,10760,10920,40694
2025-07-01,10930,11280,10930,11190,70186
2025-07-02,11200,11300,10760,11120,52424
2025-07-03,11120,11170,11010,11100,41782
2025-07-04,11100,11140,10740,10750,39371
2025-07-07,10750,10860,10690,10770,28944
2025-07-08,10730,11340,10730,11260,120060
2025-07-09,11210,11420,11110,11350,68779
2025-07-10,11330,11480,11240,11400,62794
2025-07-11,11430,11670,11400,11630,71563
2025-07-14,11670,11790,11590,11750,22745
2025-07-15,11740,11750,11500,11600,29250
2025-07-16,11600,11680,11460,11540,67828
2025-07-17,11600,11650,11250,11380,33782
2025-07-18,11380,11440,11000,11160,80893
2025-07-21,11190,11200,11080,11140,32297
2025-07-22,11130,11170,10790,10870,82826
2025-07-23,10950,10950,10575,10780,43181
2025-07-24,10770,10850,10570,10620,41981
2025-07-25,10620,10760,10590,10610,16025
2025-07-28,10610,10640,10260,10340,53380
2025-07-29,10350,10390,10230,10300,30727
2025-07-30,10310,10510,10210,10300,33569
2025-07-31,10390,10430,10260,10300,23666
2025-08-01,10260,10290,9710,9750,103480
2025-08-04,9840,10150,9770,10120,25563
2025-08-05,10130,10290,10050,10120,30201
2025-08-06,10130,10350,10110,10300,19361
2025-08-07,10400,10430,10270,10290,34110
2025-08-08,10290,10580,10290,10460,17604
2025-08-11,10560,10560,10100,10190,32331
2025-08-12,10400,10400,10120,10200,35214
2025-08-13,10320,10320,10090,10200,25498
2025-08-14,10270,10270,10080,10160,22234
2025-08-18,10160,10170,9850,9940,37857
2025-08-19,9980,10180,9800,10080,39215
2025-08-20,9920,10080,9750,9990,43012
2025-08-21,9990,10090,9980,10040,16922
2025-08-22,10050,10150,9930,9980,12814
2025-08-25,10000,10120,9860,10110,35494
2025-08-26,10200,10280,10090,10120,18715
2025-08-27,10090,10130,9830,10020,23771
2025-08-28,10020,10150,9940,10130,22028
2025-08-29,10130,10190,9940,10000,16753
2025-09-01,10000,10000,9800,9800,9082
2025-09-02,9660,10040,9660,10020,27812
2025-09-03,10020,10040,9850,9930,7759
2025-09-04,9930,9980,9890,9970,4046
2025-09-05,10000,10030,9970,10000,3420
2025-09-08,10010,10020,9860,10010,26688
2025-09-09,9970,10100,9960,10020,11480
2025-09-10,10030,10080,9960,10080,17902
2025-09-11,10140,10260,9990,10260,21108
2025-09-12,10280,10300,10130,10200,15779
2025-09-15,10200,10370,10160,10370,16639
2025-09-16,10370,10400,10140,10140,40596
2025-09-17,10140,10200,10050,10170,9977
2025-09-18,10160,10410,10140,10410,15493
