Date,Open,High,Low,Close,Volume
2025-04-09,2045,2055,2045,2055,5757
2025-04-10,2050,2055,2040,2055,2022
2025-04-11,2050,2055,2040,2055,3677
2025-04-14,2040,2055,2040,2055,554
2025-04-15,2045,2055,2040,2055,1117
2025-04-16,2045,2055,2045,2055,539
2025-04-17,2055,2055,2040,2055,562
2025-04-18,2055,2055,2045,2050,548
2025-04-21,2040,2055,2040,2055,140
2025-04-22,2050,2050,2045,2050,383
2025-04-23,2050,2055,2045,2055,150
2025-04-24,2050,2075,2045,2065,10316
2025-04-25,2065,2065,2055,2065,1218
2025-04-28,2060,2065,2050,2065,29
2025-04-29,2060,2060,2045,2055,93
2025-04-30,2055,2065,2045,2060,499
2025-05-02,2070,2070,2050,2070,9173
2025-05-07,2065,2065,2055,2065,128
2025-05-08,2065,2070,2060,2070,919
2025-05-09,2070,2075,2065,2075,21942
2025-05-12,2075,2075,2055,2070,580
2025-05-13,2065,2080,2060,2080,8119
2025-05-14,2075,2085,2060,2085,31013
2025-05-15,2080,2090,2080,2090,509
2025-05-16,2090,2090,2070,2085,884
2025-05-19,2085,2090,2070,2090,477
2025-05-20,2090,2095,2090,2090,5758
2025-05-21,2085,2090,2085,2085,192
2025-05-22,2080,2110,2080,2110,17903
2025-05-23,2105,2115,2090,2110,562
2025-05-26,2105,2110,2100,2105,665
2025-05-27,2100,2115,2100,2110,12
2025-05-28,2105,2110,2090,2110,2236
2025-05-29,2105,2105,2080,2095,16124
2025-05-30,2095,2095,2075,2095,4706
2025-06-02,2100,2100,2090,2090,728
2025-06-04,2100,2100,2085,2095,52
2025-06-05,2095,2095,2090,2095,1047
2025-06-09,2105,2105,2090,2100,12156
2025-06-10,2090,2090,2075,2090,3938
2025-06-11,2085,2095,2080,2095,4784
2025-06-12,2085,2095,2075,2090,2457
2025-06-13,2075,2090,2075,2090,131
2025-06-16,2085,2085,2020,2080,3058
2025-06-17,2040,2075,2040,2075,356
2025-06-18,2060,2075,2050,2075,21299
2025-06-19,2050,2065,2050,2065,6038
2025-06-20,2065,2065,2050,2055,14499
2025-06-23,2070,2070,2045,2050,13213
2025-06-24,2045,2050,2040,2045,16940
2025-06-25,2045,2060,2045,2060,193
2025-06-26,2060,2060,2040,2060,6124
2025-06-27,2055,2065,2050,2065,12320
2025-06-30,2050,2065,2045,2065,8981
2025-07-01,2050,2060,2050,2060,2032
2025-07-02,2065,2065,2045,2060,2203
2025-07-03,2050,2055,2045,2055,5423
2025-07-04,2050,2060,2050,2060,935
2025-07-07,2055,2055,2050,2055,419
2025-07-08,2050,2055,2045,2050,2161
2025-07-09,2050,2065,2040,2065,4192
2025-07-10,2045,2060,2045,2060,9384
2025-07-11,2060,2060,2045,2055,1678
