Date,Open,High,Low,Close,Volume
2025-04-09,3455,3550,3410,3510,87925
2025-04-10,3575,3680,3550,3650,128937
2025-04-11,3645,3680,3410,3650,127806
2025-04-14,3650,3750,3600,3640,128390
2025-04-15,3635,3670,3545,3590,97506
2025-04-16,3595,3850,3450,3455,309852
2025-04-17,3455,3515,3385,3445,95625
2025-04-18,3510,3515,3345,3370,124714
2025-04-21,3380,3420,3250,3260,159867
2025-04-22,3260,3375,3160,3325,170172
2025-04-23,3485,3515,3305,3430,177860
2025-04-24,3445,3445,3300,3300,92218
2025-04-25,3340,3380,3245,3330,104890
2025-04-28,3400,3405,3150,3180,162719
2025-04-29,3180,3380,3080,3185,155410
2025-04-30,3185,3300,3155,3215,77278
2025-05-02,3285,3300,3140,3175,76702
2025-05-07,3180,3280,3130,3150,47575
2025-05-08,3150,3200,3030,3045,95049
2025-05-09,3125,3175,2975,2980,145460
2025-05-12,3055,3175,2900,3010,113981
2025-05-13,3050,3105,2975,2985,56484
2025-05-14,3010,3010,2945,2960,59138
2025-05-15,2905,2940,2805,2910,121440
2025-05-16,2910,2995,2850,2925,71846
2025-05-19,2940,2985,2865,2885,59478
2025-05-20,2915,3075,2915,3075,125414
2025-05-21,3145,3145,2995,3010,69947
2025-05-22,2955,3125,2900,2970,42639
2025-05-23,2970,3025,2930,2945,43060
2025-05-26,2945,2985,2850,2935,131144
2025-05-27,2905,2985,2880,2890,55580
2025-05-28,2890,2925,2800,2875,56557
2025-05-29,2890,2910,2800,2840,76424
2025-05-30,2850,2860,2800,2800,82176
2025-06-02,2845,2845,2750,2785,60375
2025-06-04,2700,2765,2620,2650,177433
2025-06-05,2650,2760,2645,2700,102284
2025-06-09,2705,3225,2705,3120,474303
2025-06-10,3090,3105,2990,3035,107131
2025-06-11,3035,3135,3015,3105,50278
2025-06-12,3105,3140,3035,3095,43147
2025-06-13,3095,3135,2990,3030,69445
2025-06-16,3050,3050,2930,2990,43731
2025-06-17,3000,3040,2975,3000,49432
2025-06-18,3020,3020,2970,3000,45057
2025-06-19,3000,3100,2925,2950,59021
2025-06-20,2995,3000,2875,2965,59042
2025-06-23,2950,2950,2835,2840,115510
2025-06-24,2945,2945,2815,2865,72847
2025-06-25,2865,2895,2815,2815,65313
2025-06-26,2835,2850,2725,2815,85091
2025-06-27,2830,2900,2750,2815,45911
2025-06-30,2815,2865,2745,2820,41938
2025-07-01,2820,2820,2745,2760,48901
2025-07-02,2790,2790,2620,2730,111388
2025-07-03,2730,2770,2630,2670,75543
2025-07-04,2665,2665,2195,2280,691484
2025-07-07,2260,2315,2125,2200,151891
2025-07-08,2200,2200,2125,2165,216776
