Date,Open,High,Low,Close,Volume
2025-04-09,5770,5870,5570,5630,19844
2025-04-10,5800,5900,5690,5890,10606
2025-04-11,5880,5910,5730,5870,7360
2025-04-14,5910,5940,5770,5940,6137
2025-04-15,5950,6000,5890,5960,6448
2025-04-16,6030,6030,5820,5880,6090
2025-04-17,5880,5930,5820,5870,5533
2025-04-18,5950,6050,5890,6050,13386
2025-04-21,6080,6490,5860,6210,76676
2025-04-22,6270,6470,6070,6200,30115
2025-04-23,6200,6230,6120,6230,7202
2025-04-24,6240,6240,6050,6060,6935
2025-04-25,6120,6220,6060,6160,6197
2025-04-28,6050,6360,6040,6290,37720
2025-04-29,6290,6360,6200,6300,10431
2025-04-30,6220,6290,6100,6190,7766
2025-05-02,6190,6190,6070,6080,4520
2025-05-07,6080,6080,5990,6080,5549
2025-05-08,6080,6260,6040,6230,9560
2025-05-09,6230,6240,6160,6220,9780
2025-05-12,6210,6210,6090,6110,6277
2025-05-13,6140,6240,5990,6030,5235
2025-05-14,6090,6260,5970,6090,8980
2025-05-15,6090,6240,5950,6070,5575
2025-05-16,6090,6330,6090,6290,41934
2025-05-19,6320,6380,6210,6370,13977
2025-05-20,6380,6400,6320,6370,4669
2025-05-21,6370,6430,6300,6430,2854
2025-05-22,6440,6470,6350,6390,6303
2025-05-23,6400,6400,6000,6350,4586
2025-05-26,6290,6320,6250,6280,3402
2025-05-27,6350,6350,6230,6260,2571
2025-05-28,6290,6400,6200,6310,10269
2025-05-29,6320,6560,6310,6350,11748
2025-05-30,6350,6400,6300,6390,5889
2025-06-02,6400,6640,6320,6630,19703
2025-06-04,6630,6640,6510,6580,10958
2025-06-05,6680,6690,6520,6550,8241
2025-06-09,6600,6760,6510,6700,16650
2025-06-10,6700,6820,6620,6700,18928
2025-06-11,6680,6730,6650,6700,6418
2025-06-12,6700,6760,6620,6720,12651
2025-06-13,6770,6770,6370,6500,20822
2025-06-16,6520,6750,6420,6700,16835
2025-06-17,6700,6960,6630,6760,27557
2025-06-18,6800,6800,6620,6750,18267
2025-06-19,6730,6860,6670,6810,12779
2025-06-20,6970,6970,6780,6840,12291
2025-06-23,6840,7230,6630,7200,57256
2025-06-24,7220,7900,7210,7700,131690
2025-06-25,7670,8000,7510,7900,90222
2025-06-26,7970,10150,7760,10150,1698442
2025-06-27,11300,13190,10630,13190,4571239
2025-06-30,14000,17140,13900,17140,2257699
2025-07-01,16520,19780,14620,16400,7163927
2025-07-02,16950,18500,15260,18480,2886143
2025-07-03,18190,19790,17550,18250,1324601
2025-07-04,17420,20600,17320,17910,1439348
2025-07-07,17670,17990,15590,15800,895735
2025-07-08,15880,16770,15400,16420,545685
2025-07-09,16420,18190,16110,17210,575590
2025-07-10,17210,18770,16920,18340,480864
2025-07-11,18390,19290,17900,18290,343079
2025-07-14,18480,20000,18100,19160,484496
