Date,Open,High,Low,Close,Volume
2025-04-09,2000,2005,1998,1998,7170
2025-04-10,2005,2005,1998,2005,10360
2025-04-11,2000,2005,1998,2005,4789
2025-04-14,2005,2010,2000,2010,7608
2025-04-15,2010,2010,1993,2005,22479
2025-04-16,2000,2005,1996,2000,10509
2025-04-17,2000,2005,1997,2005,12122
2025-04-18,2005,2005,2000,2005,9874
2025-04-21,2000,2015,2000,2005,12169
2025-04-22,2000,2010,2000,2010,13362
2025-04-23,2010,2010,2000,2010,19838
2025-04-24,2010,2010,2000,2010,16643
2025-04-25,2010,2020,2000,2020,15503
2025-04-28,2015,2035,2010,2035,7161
2025-04-29,2030,2035,2015,2020,9586
2025-04-30,2025,2035,2005,2030,29075
2025-05-02,2030,2045,2025,2035,12651
2025-05-07,2040,2045,2025,2045,15774
2025-05-08,2045,2055,2040,2055,13118
2025-05-09,2055,2060,2035,2060,23443
2025-05-12,2060,2060,2035,2050,14385
2025-05-13,2050,2055,2040,2045,9555
2025-05-14,2040,2055,2035,2055,13225
2025-05-15,2050,2070,2050,2065,17898
2025-05-16,2065,2070,2050,2070,7581
2025-05-19,2065,2080,2050,2075,17258
2025-05-20,2070,2075,2070,2075,1389
2025-05-21,2075,2075,2065,2070,8269
2025-05-22,2070,2075,2070,2075,442
2025-05-23,2070,2080,2070,2080,1314
2025-05-26,2080,2085,2070,2080,11021
2025-05-27,2080,2085,2080,2085,8489
2025-05-28,2080,2085,2075,2080,1250
2025-05-29,2080,2080,2070,2080,4572
2025-05-30,2080,2080,2070,2080,169
2025-06-02,2080,2090,2075,2090,13337
2025-06-04,2075,2085,2065,2080,17672
2025-06-05,2080,2085,2070,2080,2255
2025-06-09,2080,2090,2080,2085,17456
2025-06-10,2075,2090,2075,2080,15986
2025-06-11,2080,2085,2065,2085,6396
2025-06-12,2075,2085,2075,2085,2293
2025-06-13,2080,2085,2055,2070,1089
2025-06-16,2065,2070,2030,2070,9410
2025-06-17,2055,2070,2045,2065,11968
2025-06-18,2070,2070,2045,2070,10711
2025-06-19,2070,2070,2050,2060,4324
2025-06-20,2060,2065,2045,2060,30419
2025-06-23,2070,2070,2000,2020,83237
2025-06-24,2035,2040,2025,2040,2080
2025-06-25,2030,2035,2025,2035,764
2025-06-26,2035,2040,2020,2035,5415
2025-06-27,2040,2045,2025,2045,9333
2025-06-30,2040,2050,2040,2050,3334
2025-07-01,2050,2055,2045,2055,6434
2025-07-02,2050,2060,2040,2055,5575
2025-07-03,2045,2055,2045,2055,1100
2025-07-04,2045,2045,2035,2040,8549
2025-07-07,2040,2040,2035,2035,13451
2025-07-08,2040,2045,2035,2045,1316
2025-07-09,2045,2045,2025,2035,12086
2025-07-10,2030,2040,2020,2035,48963
2025-07-11,2030,2030,2025,2025,13679
2025-07-14,2040,2040,2020,2025,16374
2025-07-15,2025,2025,2015,2015,10287
2025-07-16,2030,2030,2015,2030,19365
2025-07-17,2030,2035,2025,2035,9187
2025-07-18,2035,2040,2035,2035,6438
2025-07-21,2030,2040,2030,2030,14281
2025-07-22,2030,2040,2025,2030,10089
2025-07-23,2030,2040,2030,2040,6078
2025-07-24,2035,2040,2035,2040,720
