MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,20,6,5,9,54.54545454545454,30.0,8.785589432309965,-3.5274559445430222,30.45977011494253,-10.360655737704919
11,19,6,5,8,54.54545454545454,31.57894736842105,9.00335471585333,-3.5632022649138393,30.45977011494253,-10.360655737704919
12,18,6,5,7,54.54545454545454,33.33333333333333,9.35894833667156,-3.6778812760254604,30.45977011494253,-10.360655737704919
13,20,6,6,8,50.0,30.0,8.757404296557283,-3.887575075744457,30.45977011494253,-11.108374384236454
14,21,5,8,8,38.46153846153847,23.809523809523807,7.3488766081886965,-4.5945812021671015,30.45977011494253,-11.108374384236454
15,19,5,8,6,38.46153846153847,26.31578947368421,7.650330538100412,-4.93405793694995,30.45977011494253,-11.108374384236454
16,21,5,8,8,38.46153846153847,23.809523809523807,7.351789246896895,-4.912165740827446,30.45977011494253,-11.108374384236454
17,18,5,6,7,45.45454545454545,27.77777777777778,8.162834471120453,-4.316919443497018,30.45977011494253,-10.312951372171401
18,14,3,4,7,42.857142857142854,21.428571428571427,7.6072867864414,-3.9602950750444514,30.45977011494253,-10.312951372171401
19,13,3,4,6,42.857142857142854,23.076923076923077,8.00335602511083,-4.113253851131294,30.45977011494253,-10.312951372171401
20,11,3,3,5,50.0,27.27272727272727,8.763407549155552,-4.127376922529502,30.45977011494253,-10.312951372171401
