MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,17,8,7,2,53.333333333333336,47.05882352941176,11.493997082631719,-4.788595975133013,33.891538205611624,-14.443829551743221
11,16,8,6,2,57.14285714285714,50.0,10.654874409188995,-4.96651151329041,23.223684210526315,-14.443829551743221
12,18,8,7,3,53.333333333333336,44.44444444444444,10.003966029011075,-5.222767626594738,23.223684210526315,-14.443829551743221
13,17,8,6,3,57.14285714285714,47.05882352941176,10.017421550474072,-5.0318495880865655,23.223684210526315,-14.443829551743221
14,16,6,7,3,46.15384615384615,37.5,8.631306487477286,-5.322845275081173,20.419543281996813,-14.443829551743221
15,12,5,6,1,45.45454545454545,41.66666666666667,9.072693653595667,-5.848074025051834,20.419543281996813,-14.443829551743221
16,13,6,6,1,50.0,46.15384615384615,10.14349202906041,-5.580812610172604,22.993072534637328,-14.443829551743221
17,12,6,5,1,54.54545454545454,50.0,10.11395225481447,-5.129272267687451,22.993072534637328,-14.443829551743221
18,13,7,5,1,58.333333333333336,53.84615384615385,10.33408850627485,-4.706986957515341,22.993072534637328,-14.443829551743221
19,13,7,5,1,58.333333333333336,53.84615384615385,10.63023259088192,-4.560863101549984,22.993072534637328,-14.443829551743221
20,11,7,4,0,63.63636363636363,63.63636363636363,12.02888276653216,-3.814446194169585,22.993072534637328,-11.30710534139332
