티커,종목명,MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
039200 KQ,OSCOTEC INC,19,16,4,5,7,44.44444444444444,25.0,10.31138997714612,-4.995104811928958,36.008337675872845,-17.229336437718278
039200 KQ,OSCOTEC INC,20,16,3,6,7,33.33333333333333,18.75,9.481720941147978,-5.277968945510891,36.008337675872845,-17.229336437718278
059090 KQ,MICO LTD,10,18,4,9,5,30.76923076923077,22.22222222222222,10.25218069902761,-6.972693743419629,74.58628841607565,-18.951612903225808
059090 KQ,MICO LTD,11,17,4,9,4,30.76923076923077,23.52941176470588,10.43263450371056,-7.251498686636204,74.58628841607565,-18.951612903225808
059090 KQ,MICO LTD,12,17,3,9,5,25.0,17.647058823529413,10.608629411339624,-6.539126469103898,74.58628841607565,-17.15438950554995
059090 KQ,MICO LTD,13,16,3,8,5,27.27272727272727,18.75,10.933098868724949,-6.426424256954855,74.58628841607565,-17.15438950554995
059090 KQ,MICO LTD,14,15,3,7,5,30.0,20.0,11.93919677254625,-5.546838753773786,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,15,14,3,7,4,30.0,21.428571428571427,12.368875486362663,-5.792439112261931,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,16,14,3,7,4,30.0,21.428571428571427,12.368875486362663,-5.792439112261931,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,17,14,3,7,4,30.0,21.428571428571427,12.368875486362663,-5.792439112261931,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,18,14,3,7,4,30.0,21.428571428571427,12.368875486362663,-5.792439112261931,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,19,14,3,7,4,30.0,21.428571428571427,12.368875486362663,-5.792439112261931,74.58628841607565,-16.205787781350484
059090 KQ,MICO LTD,20,13,3,6,4,33.33333333333333,23.076923076923077,13.278200898701455,-5.5134347234756085,74.58628841607565,-16.205787781350484
078350 KQ,HANYANG DIGITECH CO LTD,10,17,6,7,4,46.15384615384615,35.294117647058826,9.715773540577194,-5.224632226469098,34.49781659388647,-14.951456310679612
078350 KQ,HANYANG DIGITECH CO LTD,11,15,6,5,4,54.54545454545454,40.0,10.688357337314699,-5.187869576088365,34.49781659388647,-14.951456310679612
078350 KQ,HANYANG DIGITECH CO LTD,12,16,6,6,4,50.0,37.5,9.722179053446304,-5.323530367010349,34.49781659388647,-14.951456310679612
078350 KQ,HANYANG DIGITECH CO LTD,13,19,7,7,5,50.0,36.84210526315789,7.967662245135563,-5.023257586775373,33.57079252003562,-14.951456310679612
078350 KQ,HANYANG DIGITECH CO LTD,14,16,7,4,5,63.63636363636363,43.75,10.553289830350229,-4.152924970031768,34.49781659388647,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,15,15,5,5,5,50.0,33.33333333333333,8.191096411874273,-4.6043013045615035,33.57079252003562,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,16,15,6,5,4,54.54545454545454,40.0,8.853076839936572,-4.614376061224954,33.57079252003562,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,17,15,6,5,4,54.54545454545454,40.0,8.853076839936572,-4.614376061224954,33.57079252003562,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,18,14,6,5,3,54.54545454545454,42.857142857142854,9.425541298254894,-4.599559855954559,33.57079252003562,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,19,14,6,6,2,50.0,42.857142857142854,8.924814847414254,-5.058878073542913,33.57079252003562,-13.954802259887005
078350 KQ,HANYANG DIGITECH CO LTD,20,13,5,6,2,45.45454545454545,38.46153846153847,7.028970411058765,-4.858941096804006,15.557217651458489,-13.954802259887005
083650 KQ,BHI CO LTD,10,25,11,8,6,57.89473684210527,44.0,10.126055753790487,-5.53182542742097,44.43069306930693,-16.199095022624434
083650 KQ,BHI CO LTD,11,19,7,7,5,50.0,36.84210526315789,10.547506398719838,-5.916519063156644,44.43069306930693,-16.199095022624434
083650 KQ,BHI CO LTD,12,17,6,6,5,50.0,35.294117647058826,10.58636200484623,-5.545100895841169,44.43069306930693,-15.930521091811414
083650 KQ,BHI CO LTD,13,18,6,7,5,46.15384615384615,33.33333333333333,10.143952573486425,-4.862424385702758,43.36609336609337,-15.930521091811414
