MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,7,2,4,1,33.33333333333333,28.57142857142857,7.73154305359614,-8.527583390114428,17.03056768558952,-20.577617328519857
11,7,2,5,0,28.57142857142857,28.57142857142857,7.132338037647079,-9.071598470383972,17.03056768558952,-20.577617328519857
12,6,2,4,0,33.33333333333333,33.33333333333333,6.837205393399274,-9.27773857632166,17.03056768558952,-20.577617328519857
13,6,2,4,0,33.33333333333333,33.33333333333333,6.837205393399274,-9.27773857632166,17.03056768558952,-20.577617328519857
14,5,2,3,0,40.0,40.0,7.467947972761257,-9.96002571859827,17.03056768558952,-20.577617328519857
15,4,2,2,0,50.0,50.0,9.121959867655372,-9.402849972625297,17.03056768558952,-20.577617328519857
16,4,2,2,0,50.0,50.0,9.121959867655372,-9.402849972625297,17.03056768558952,-20.577617328519857
17,3,1,2,0,33.33333333333333,33.33333333333333,6.485757261677324,-11.809331258988022,15.669666490206458,-20.577617328519857
18,3,1,2,0,33.33333333333333,33.33333333333333,6.485757261677324,-11.809331258988022,15.669666490206458,-20.577617328519857
19,3,1,2,0,33.33333333333333,33.33333333333333,6.485757261677324,-11.809331258988022,15.669666490206458,-20.577617328519857
20,3,1,2,0,33.33333333333333,33.33333333333333,6.485757261677324,-11.809331258988022,15.669666490206458,-20.577617328519857
