MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,19,2,4,13,33.33333333333333,10.526315789473683,4.992473477375644,-3.2287467605637548,20.674486803519063,-12.60229132569558
11,20,3,4,13,42.857142857142854,15.0,5.463967155867572,-3.087298289495741,20.674486803519063,-12.60229132569558
12,19,3,4,12,42.857142857142854,15.789473684210526,5.713517262294133,-3.0565688322609046,20.674486803519063,-12.60229132569558
13,17,3,3,11,50.0,17.647058823529413,5.799636263232367,-2.6686229349641453,20.674486803519063,-11.894380832076932
14,18,3,2,13,60.0,16.666666666666664,5.79829824553933,-2.290368913494461,20.674486803519063,-11.894380832076932
15,17,3,2,12,60.0,17.647058823529413,5.639961882416826,-2.41886552058995,20.674486803519063,-11.894380832076932
16,17,3,2,12,60.0,17.647058823529413,5.6204294693301105,-2.323942756991699,20.674486803519063,-11.894380832076932
17,15,3,1,11,75.0,20.0,6.0796552901950385,-1.7560610189346735,20.674486803519063,-6.602237512474394
18,15,3,1,11,75.0,20.0,6.0796552901950385,-1.7560610189346735,20.674486803519063,-6.602237512474394
19,16,3,1,12,75.0,18.75,5.8954599670879695,-1.691487928142823,20.674486803519063,-6.602237512474394
20,16,3,1,12,75.0,18.75,5.8954599670879695,-1.691487928142823,20.674486803519063,-6.602237512474394
