MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,17,1,7,9,12.5,5.88235294117647,3.511367488924869,-4.792311148376765,12.217194570135746,-15.386638611257233
11,18,2,7,9,22.22222222222222,11.11111111111111,4.218906661736355,-4.510621470994917,16.247072599531617,-15.386638611257233
12,14,2,5,7,28.57142857142857,14.285714285714285,4.590449618195533,-4.057647797305081,16.247072599531617,-15.386638611257233
13,15,2,5,8,28.57142857142857,13.333333333333334,4.240044437115624,-4.093987776564192,16.247072599531617,-15.386638611257233
14,15,2,5,8,28.57142857142857,13.333333333333334,4.618214529454917,-4.365032205527504,16.247072599531617,-15.386638611257233
15,12,2,4,6,33.33333333333333,16.666666666666664,5.2274943519605115,-4.32373966738627,16.247072599531617,-15.386638611257233
16,13,2,5,6,28.57142857142857,15.384615384615385,4.584659086183481,-4.324485324933997,16.247072599531617,-15.386638611257233
17,12,3,4,5,42.857142857142854,25.0,6.292596540276186,-3.7716150769199253,16.247072599531617,-11.86770428015564
18,13,3,5,5,37.5,23.076923076923077,5.980541464124143,-4.040498085551302,16.247072599531617,-11.86770428015564
19,12,3,4,5,42.857142857142854,25.0,6.158407098955,-3.9247175715644382,16.247072599531617,-11.86770428015564
20,12,3,4,5,42.857142857142854,25.0,6.158407098955,-3.9247175715644382,16.247072599531617,-11.86770428015564
