MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,13,3,6,4,33.33333333333333,23.076923076923077,10.244109013967867,-4.727776287185936,50.0,-12.622720897615707
11,11,2,5,4,28.57142857142857,18.181818181818183,7.499344446302813,-4.927953841543398,35.667396061269145,-12.622720897615707
12,11,3,5,3,37.5,27.27272727272727,13.418088513881644,-2.6875774285043037,72.55987483451679,-12.622720897615707
13,11,3,5,3,37.5,27.27272727272727,13.418088513881644,-2.6875774285043037,72.55987483451679,-12.622720897615707
14,12,3,7,2,30.0,25.0,12.72439422117229,-3.7788395443503635,72.55987483451679,-12.622720897615707
15,13,3,8,2,27.27272727272727,23.076923076923077,11.784499741149345,-5.001195534632412,72.55987483451679,-15.020849968946855
16,11,3,6,2,33.33333333333333,27.27272727272727,13.469604045367145,-3.9450424848283068,72.55987483451679,-15.020849968946855
17,10,3,5,2,37.5,30.0,14.253881577970485,-3.2603209849429193,72.55987483451679,-15.020849968946855
18,10,4,5,1,44.44444444444444,40.0,18.55047579327084,-2.9659634203356964,72.55987483451679,-15.020849968946855
19,8,3,4,1,42.857142857142854,37.5,11.749055212554179,-4.418926427092785,35.667396061269145,-15.020849968946855
20,8,2,4,2,33.33333333333333,25.0,7.901903868931226,-6.202066573482332,32.82075034738305,-15.020849968946855
