MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,6,2,3,1,40.0,33.33333333333333,15.220926410418793,-6.938613967728808,32.741176470588236,-20.56737588652482
11,7,3,3,1,50.0,42.857142857142854,17.73238850936581,-5.854080477418804,32.801161103047896,-20.56737588652482
12,8,5,2,1,71.42857142857143,62.5,20.73740613210496,-5.543385045408992,32.801161103047896,-20.56737588652482
13,8,5,2,1,71.42857142857143,62.5,22.864392913126284,-5.643412584947901,36.452513966480446,-20.56737588652482
14,10,4,4,2,50.0,40.0,16.528230404408966,-6.383020628526124,36.452513966480446,-20.56737588652482
15,8,4,2,2,66.66666666666666,50.0,19.24027522014142,-4.364909014565979,36.452513966480446,-18.05792163543441
16,8,4,3,1,57.14285714285714,50.0,18.961933454730687,-4.655732473492886,36.452513966480446,-18.05792163543441
17,9,4,4,1,50.0,44.44444444444444,17.24335052987736,-5.282335463779063,36.452513966480446,-18.05792163543441
18,9,4,4,1,50.0,44.44444444444444,17.24335052987736,-5.282335463779063,36.452513966480446,-18.05792163543441
19,8,3,4,1,42.857142857142854,37.5,15.298624208231045,-6.024267454806598,36.452513966480446,-18.05792163543441
20,7,2,4,1,33.33333333333333,28.57142857142857,12.274990217402097,-5.385860512303298,32.741176470588236,-18.05792163543441
