MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,3,0,2,1,0.0,0.0,3.0144568803239244,-5.355447134771205,5.438401775804662,-8.527131782945736
11,3,0,2,1,0.0,0.0,3.0144568803239244,-5.355447134771205,5.438401775804662,-8.527131782945736
12,4,0,3,1,0.0,0.0,2.285993565675539,-5.8526014476578805,5.438401775804662,-8.527131782945736
13,4,0,3,1,0.0,0.0,2.285993565675539,-5.8526014476578805,5.438401775804662,-8.527131782945736
14,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
15,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
16,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
17,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
18,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
19,3,0,2,1,0.0,0.0,2.5698493443979866,-5.549370236221436,5.438401775804662,-8.527131782945736
20,2,0,1,1,0.0,0.0,2.769502698767522,-4.0604894628592865,5.438401775804662,-7.344064386317907
