MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,9,2,2,5,50.0,22.22222222222222,6.010444392567766,-2.877331354554462,14.66992665036675,-14.499732477260569
11,10,2,2,6,50.0,20.0,5.737355056783457,-2.7035933085413175,14.66992665036675,-14.499732477260569
12,10,2,2,6,50.0,20.0,5.737355056783457,-2.7035933085413175,14.66992665036675,-14.499732477260569
13,8,1,1,6,50.0,12.5,5.118172769903257,-2.792946457138803,13.126323218066338,-14.499732477260569
14,8,1,1,6,50.0,12.5,5.118172769903257,-2.792946457138803,13.126323218066338,-14.499732477260569
15,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
16,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
17,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
18,9,1,1,7,50.0,11.11111111111111,4.738794483029153,-2.8197800120883927,13.126323218066338,-14.499732477260569
19,10,2,1,7,66.66666666666666,20.0,6.7540373152963795,-2.6248237663184133,24.891222805701425,-14.499732477260569
20,9,2,1,6,66.66666666666666,22.22222222222222,6.922455044053315,-2.818519316181057,24.891222805701425,-14.499732477260569
