MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,1,1,0,0,100.0,100.0,27.43467933491687,-2.6128266033254155,27.43467933491687,-2.6128266033254155
11,1,1,0,0,100.0,100.0,27.43467933491687,-2.6128266033254155,27.43467933491687,-2.6128266033254155
12,1,1,0,0,100.0,100.0,27.43467933491687,-2.6128266033254155,27.43467933491687,-2.6128266033254155
13,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
14,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
15,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
16,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
17,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
18,1,1,0,0,100.0,100.0,14.882226980728053,-5.781584582441114,14.882226980728053,-5.781584582441114
19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
