MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,8,2,2,4,50.0,25.0,7.542536452595972,-3.0965803147888966,12.352309344790548,-8.216668551396584
11,7,1,2,4,33.33333333333333,14.285714285714285,6.682013456011863,-3.778564416339392,12.352309344790548,-8.216668551396584
12,7,1,2,4,33.33333333333333,14.285714285714285,7.792048933460174,-2.9871813232051396,17.019454628167733,-8.216668551396584
13,8,1,3,4,25.0,12.5,6.818042816777652,-3.451906263168482,17.019454628167733,-8.216668551396584
14,8,1,3,4,25.0,12.5,7.0627950548147815,-3.3826164249522535,16.81314278082009,-8.216668551396584
15,7,0,5,2,0.0,0.0,3.9154012029913625,-5.7993870097072895,9.538461538461538,-9.59409594095941
16,7,0,5,2,0.0,0.0,3.9154012029913625,-5.7993870097072895,9.538461538461538,-9.59409594095941
17,10,0,6,4,0.0,0.0,4.627253616718706,-4.887343670798946,9.538461538461538,-9.59409594095941
18,10,1,5,4,16.666666666666664,10.0,5.359408618270641,-4.567470424238552,13.959538561599288,-9.59409594095941
19,10,1,5,4,16.666666666666664,10.0,5.359408618270641,-4.567470424238552,13.959538561599288,-9.59409594095941
20,10,1,5,4,16.666666666666664,10.0,5.359408618270641,-4.567470424238552,13.959538561599288,-9.59409594095941
