MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,12,0,2,10,0.0,0.0,1.0853842373925124,-3.178343807738433,2.561454244990704,-6.663634296110985
11,11,0,2,9,0.0,0.0,1.071915946427321,-3.1536734493177563,2.561454244990704,-6.663634296110985
12,10,0,2,8,0.0,0.0,1.0789934654428266,-3.2133466635691876,2.561454244990704,-6.663634296110985
13,9,0,2,7,0.0,0.0,1.2705368236751016,-3.509571935115554,2.8338136407300674,-6.663634296110985
14,11,0,2,9,0.0,0.0,1.5917030574004103,-3.034349347011332,3.46587284711886,-6.663634296110985
15,9,0,1,8,0.0,0.0,1.4390230426933523,-2.9800581821137166,2.8338136407300674,-6.099436186570989
16,8,0,1,7,0.0,0.0,1.3066732146361788,-3.2363877029174315,2.8338136407300674,-6.099436186570989
17,8,0,1,7,0.0,0.0,1.3066732146361788,-3.2363877029174315,2.8338136407300674,-6.099436186570989
18,7,0,1,6,0.0,0.0,1.09152447619588,-3.4275844434635725,2.8338136407300674,-6.099436186570989
19,5,0,1,4,0.0,0.0,0.9613715385282182,-3.481471923274892,2.561454244990704,-6.099436186570989
20,6,0,1,5,0.0,0.0,0.8011429487735152,-3.6946538327760248,2.561454244990704,-6.099436186570989
