MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,5,3,0,2,100.0,60.0,10.177681794632894,-5.03115207900777,14.285714285714285,-12.2015503875969
11,5,2,1,2,66.66666666666666,40.0,9.745009654643683,-7.2932722923474955,14.285714285714285,-14.01330376940133
12,6,3,1,2,75.0,50.0,12.062057143732794,-6.511928647096528,23.647294589178355,-14.01330376940133
13,6,3,1,2,75.0,50.0,12.062057143732794,-6.511928647096528,23.647294589178355,-14.01330376940133
14,6,3,1,2,75.0,50.0,12.062057143732794,-6.511928647096528,23.647294589178355,-14.01330376940133
15,6,3,1,2,75.0,50.0,11.016635079990005,-6.606156417793279,17.374762206721623,-14.01330376940133
16,6,3,1,2,75.0,50.0,11.016635079990005,-6.606156417793279,17.374762206721623,-14.01330376940133
17,4,2,1,1,66.66666666666666,50.0,11.036944006976395,-8.106814074269364,17.374762206721623,-14.01330376940133
18,4,2,1,1,66.66666666666666,50.0,11.036944006976395,-8.106814074269364,17.374762206721623,-14.01330376940133
19,3,1,1,1,50.0,33.33333333333333,8.924337940394652,-9.752226417351755,12.604651162790697,-14.01330376940133
20,3,1,1,1,50.0,33.33333333333333,8.924337940394652,-9.752226417351755,12.604651162790697,-14.01330376940133
