MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,21,8,8,5,50.0,38.095238095238095,11.121041231688466,-4.471015598935596,61.935483870967744,-12.427745664739884
11,19,7,8,4,46.666666666666664,36.84210526315789,11.165848594834863,-4.578547495878826,61.935483870967744,-12.427745664739884
12,19,8,7,4,53.333333333333336,42.10526315789473,14.880933408317848,-4.335367081073698,71.19047619047619,-12.427745664739884
13,19,7,7,5,50.0,36.84210526315789,13.980637366597662,-4.573214697318498,71.19047619047619,-12.427745664739884
14,18,7,6,5,53.84615384615385,38.88888888888889,14.946666076305313,-4.639606342650589,71.19047619047619,-12.427745664739884
15,19,6,6,7,50.0,31.57894736842105,11.05921964363568,-4.828848419038943,71.19047619047619,-12.427745664739884
16,18,5,6,7,45.45454545454545,27.77777777777778,7.71859427992232,-4.978070156604598,24.84237074401009,-12.427745664739884
17,17,4,6,7,40.0,23.52941176470588,7.483774748400723,-5.18575849399001,24.84237074401009,-12.427745664739884
18,17,4,6,7,40.0,23.52941176470588,7.483774748400723,-5.18575849399001,24.84237074401009,-12.427745664739884
19,18,4,6,8,40.0,22.22222222222222,7.1063765809788295,-5.089496281770184,24.84237074401009,-12.427745664739884
20,17,4,6,7,40.0,23.52941176470588,6.9981276182947045,-5.159695833868201,24.84237074401009,-12.427745664739884
