MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,23,8,10,5,44.44444444444444,34.78260869565217,9.22655844707057,-5.762003725978475,31.380753138075313,-16.25207296849088
11,20,6,9,5,40.0,30.0,8.501351700876846,-6.384037294444629,31.380753138075313,-16.25207296849088
12,20,6,9,5,40.0,30.0,8.63465668990119,-6.082604473234477,31.380753138075313,-16.25207296849088
13,21,8,7,6,53.333333333333336,38.095238095238095,9.919635544134714,-5.112390972424102,31.380753138075313,-16.25207296849088
14,19,7,7,5,50.0,36.84210526315789,9.760512184929068,-5.614786624486162,31.380753138075313,-16.25207296849088
15,18,7,7,4,50.0,38.88888888888889,9.778418292581183,-5.826844058680461,31.380753138075313,-16.25207296849088
16,17,7,6,4,53.84615384615385,41.17647058823529,10.277575623782576,-5.433553529193832,31.380753138075313,-16.25207296849088
17,14,4,6,4,40.0,28.57142857142857,8.275610000118734,-6.204465786413146,24.918672739102146,-16.25207296849088
18,14,5,6,3,45.45454545454545,35.714285714285715,8.88227532896293,-6.139284102689241,24.918672739102146,-16.25207296849088
19,15,5,6,4,45.45454545454545,33.33333333333333,8.888414238655999,-5.986408752253548,24.918672739102146,-16.25207296849088
20,15,5,5,5,50.0,33.33333333333333,8.952582936709547,-5.46280771260774,24.918672739102146,-16.25207296849088
