MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,17,2,9,6,18.181818181818183,11.76470588235294,4.067235153160494,-5.745655816994089,14.010114978097107,-11.504331700296161
11,16,2,8,6,20.0,12.5,4.2407222786036085,-5.63197644623291,14.010114978097107,-11.504331700296161
12,16,1,8,7,11.11111111111111,6.25,3.985054114249843,-5.4099510281209655,14.010114978097107,-11.504331700296161
13,14,0,8,6,0.0,0.0,3.5270677532381334,-5.849503226120062,9.625867505628273,-11.504331700296161
14,15,0,9,6,0.0,0.0,3.3780259794269694,-5.963838060990253,9.625867505628273,-11.504331700296161
15,16,1,9,6,10.0,6.25,3.8246250020364236,-5.745308735018154,10.52361034117825,-11.504331700296161
16,17,2,9,6,18.181818181818183,11.76470588235294,4.4237714712164635,-5.49258893584048,14.010114978097107,-11.504331700296161
17,16,1,10,5,9.090909090909092,6.25,3.7250460560110614,-6.154008665837967,14.010114978097107,-11.504331700296161
18,13,1,8,4,11.11111111111111,7.6923076923076925,3.9603878646819117,-5.862070149810878,14.010114978097107,-10.940691739188779
19,12,1,7,4,12.5,8.333333333333332,4.217598361834725,-5.488746647108513,14.010114978097107,-10.578238044820893
20,10,1,6,3,14.285714285714285,10.0,4.653863122355178,-5.6434516795595595,14.010114978097107,-10.578238044820893
