MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,14,2,4,8,33.33333333333333,14.285714285714285,5.970574312282651,-3.8763493663398103,23.423378263898982,-11.30036873757818
11,18,2,6,10,25.0,11.11111111111111,6.1699795599861424,-3.8115400457958697,23.423378263898982,-11.30036873757818
12,16,2,6,8,25.0,12.5,6.535590675352196,-3.8427804244389723,23.423378263898982,-11.30036873757818
13,13,2,4,7,33.33333333333333,15.384615384615385,7.311141303935993,-3.3081104415042555,23.423378263898982,-7.420279708622961
14,12,2,3,7,40.0,16.666666666666664,7.6778592856293555,-3.308579753817829,23.423378263898982,-7.420279708622961
15,12,2,3,7,40.0,16.666666666666664,7.6778592856293555,-3.308579753817829,23.423378263898982,-7.420279708622961
16,10,2,2,6,50.0,20.0,7.940090535116049,-3.299199991601346,23.423378263898982,-7.420279708622961
17,10,2,2,6,50.0,20.0,7.940090535116049,-3.299199991601346,23.423378263898982,-7.420279708622961
18,9,2,2,5,50.0,22.22222222222222,8.42331325139778,-3.2667682030481084,23.423378263898982,-7.420279708622961
19,8,1,2,5,33.33333333333333,12.5,6.548305124835128,-3.4623999978546154,14.855123186653552,-7.420279708622961
20,8,1,2,5,33.33333333333333,12.5,6.548305124835128,-3.4623999978546154,14.855123186653552,-7.420279708622961
