MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,15,5,5,5,50.0,33.33333333333333,8.346470986455127,-5.257048122847067,21.56448202959831,-17.25417439703154
11,19,7,6,6,53.84615384615385,36.84210526315789,8.810977380521312,-5.044880098629315,23.082706766917294,-17.25417439703154
12,17,7,4,6,63.63636363636363,41.17647058823529,9.88172574476592,-4.699199977438443,23.082706766917294,-17.25417439703154
13,14,4,4,6,50.0,28.57142857142857,8.44262759745678,-5.259653349523601,21.56448202959831,-17.25417439703154
14,11,3,4,4,42.857142857142854,27.27272727272727,8.089107138072139,-5.780437585426956,21.56448202959831,-17.25417439703154
15,9,3,2,4,60.0,33.33333333333333,8.820945107648924,-4.213728821849696,21.56448202959831,-7.588279489105935
16,10,3,2,5,60.0,30.0,8.876350596884032,-3.912548247357035,21.56448202959831,-7.588279489105935
17,9,4,2,3,66.66666666666666,44.44444444444444,10.581129967573228,-4.818131499238036,21.56448202959831,-17.25417439703154
18,9,5,2,2,71.42857142857143,55.55555555555556,12.4254874092422,-5.067022563086866,24.52504317789292,-17.25417439703154
19,10,5,1,4,83.33333333333334,50.0,11.151702301888644,-4.166440611415867,24.52504317789292,-17.25417439703154
20,12,5,2,5,71.42857142857143,41.66666666666667,10.022094277687989,-4.291345892494837,24.52504317789292,-17.25417439703154
