MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,18,9,6,3,60.0,50.0,11.17772852603768,-6.631879413956773,31.958762886597935,-22.327341532639547
11,15,8,4,3,66.66666666666666,53.333333333333336,11.524280565578605,-6.79819715196207,25.723472668810288,-22.327341532639547
12,15,7,5,3,58.333333333333336,46.666666666666664,10.065614412983242,-6.957022834293941,25.723472668810288,-22.327341532639547
13,14,7,5,2,58.333333333333336,50.0,10.876909494474829,-6.480414966841729,25.723472668810288,-22.327341532639547
14,11,6,3,2,66.66666666666666,54.54545454545454,11.388770422612446,-7.153225651476898,25.723472668810288,-22.327341532639547
15,12,6,3,3,66.66666666666666,50.0,10.55666528505556,-6.849521174672536,25.723472668810288,-22.327341532639547
16,13,6,4,3,60.0,46.15384615384615,9.914797907784438,-6.914874549255249,25.723472668810288,-22.327341532639547
17,9,4,3,2,57.14285714285714,44.44444444444444,11.538725715316282,-6.5100916892406495,31.958762886597935,-22.327341532639547
18,9,4,3,2,57.14285714285714,44.44444444444444,11.538725715316282,-6.5100916892406495,31.958762886597935,-22.327341532639547
19,9,5,2,2,71.42857142857143,55.55555555555556,13.181762693772576,-6.395171556440656,31.958762886597935,-22.327341532639547
20,9,5,2,2,71.42857142857143,55.55555555555556,13.181762693772576,-6.395171556440656,31.958762886597935,-22.327341532639547
