MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
10,11,1,5,5,16.666666666666664,9.090909090909092,4.13112309008824,-5.064691821675737,10.944976076555024,-10.74074074074074
11,12,1,6,5,14.285714285714285,8.333333333333332,3.6349311534766393,-5.388674588276241,10.944976076555024,-10.74074074074074
12,14,1,7,6,12.5,7.142857142857142,3.146361720781225,-5.607951116475207,10.944976076555024,-10.74074074074074
13,16,1,8,7,11.11111111111111,6.25,3.076758830611739,-5.373091290978229,10.944976076555024,-10.74074074074074
14,16,1,7,8,12.5,6.25,3.119817905683009,-5.063758855121403,10.944976076555024,-10.74074074074074
15,15,0,7,8,0.0,0.0,2.5981406942915415,-5.357483129673355,6.8557919621749415,-10.74074074074074
16,13,0,8,5,0.0,0.0,2.6814339270413208,-6.023317362682691,6.8557919621749415,-10.74074074074074
17,12,0,7,5,0.0,0.0,2.5446110650717064,-6.102328145412513,6.8557919621749415,-10.74074074074074
18,13,0,7,6,0.0,0.0,3.061205429180478,-5.664278890196651,9.26033779848573,-10.74074074074074
19,11,0,7,4,0.0,0.0,2.633516415228535,-6.23905789880782,6.8557919621749415,-10.74074074074074
20,11,0,6,5,0.0,0.0,2.7484718122486513,-5.799709614444468,6.8557919621749415,-10.74074074074074
