Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
438330,6,TIGER 우량회사채액티브,114535,5,-280,-0.24,114647.0,-1.0088,27336,3133,5803
469070,2,RISE AI&로봇,17715,2,1445,8.88,17490.0,-7.7612,5129366,90426,5784
483280,4,KODEX 미국AI테크TOP10타겟커버드콜,13780,2,90,0.66,13692.0,21.7918,769030,10644,5774
329750,6,TIGER 미국달러단기채권액티브,14120,5,-5,-0.04,14118.0,5.726,395539,5610,5666
277630,1,TIGER 코스피,91195,2,3105,3.52,91674.0,35.461,84882,7740,5654
447770,7,TIGER 테슬라채권혼합Fn,14820,5,-150,-1.0,14902.0,2.7195,709797,10567,5639
0173Y0,4,KODEX 미국AI광통신네트워크,14455,5,-250,-1.7,14426.0,,2434954,35214,5630
091170,2,KODEX 은행,14520,2,5,0.03,14494.0,-9.3477,647260,9471,5612
114260,6,KODEX 국고채3년,61295,5,-95,-0.15,61314.0,-0.9839,51229,3141,5589
0007F0,6,KODEX 27-12 회사채(AA-이상)액티브,10105,5,-10,-0.1,10117.0,-0.1974,38241,386,5578
451000,6,PLUS 종합채권(AA-이상)액티브,108150,5,-360,-0.33,108032.0,-2.7427,702,75,5459
473290,6,KODEX 26-12 회사채(AA-이상)액티브,10795,5,-15,-0.14,10810.0,0.418,153509,1657,5430
385720,1,TIME 코스피액티브,34360,2,1150,3.46,34053.0,43.2082,353462,12003,5429
251350,4,KODEX MSCI선진국,42020,2,95,0.23,41879.0,12.6074,53563,2256,5400
489250,4,KODEX 미국배당다우존스,13330,5,-70,-0.52,13339.0,9.6823,598015,8013,5372
462900,2,KoAct 바이오헬스케어액티브,18490,5,-525,-2.76,18492.0,-22.7033,2771634,51606,5362
466930,2,SOL 자동차TOP3플러스,42300,2,835,2.01,41853.0,60.1264,2371763,100269,5330
0080G0,2,KODEX 방산TOP10,12995,5,-25,-0.19,12975.0,-3.9824,5262682,69851,5328
471990,2,KODEX AI반도체핵심장비,31625,2,895,2.91,31666.0,17.5438,1895347,60706,5281
451060,1,1Q 200액티브,45550,2,2080,4.78,45374.0,43.3294,702551,31555,5193
458250,6,TIGER 미국30년국채스트립액티브(합성 H),36320,5,-310,-0.85,36679.0,-7.6167,156714,5708,5144
448290,4,TIGER 미국S&P500(H),17705,2,70,0.4,17650.0,9.7966,271616,4806,5143
474220,4,TIGER 미국테크TOP10타겟커버드콜,16975,2,70,0.41,16909.0,17.6707,255848,4368,5101
476800,7,KODEX 한국부동산리츠인프라,4285,5,-110,-2.5,4315.0,-9.2513,3672016,15791,4966
385510,2,KODEX 신재생에너지액티브,49995,5,-875,-1.72,50030.0,20.5377,501540,25229,4925
418660,4,TIGER 미국나스닥100레버리지(합성),52015,2,620,1.21,51585.0,57.2193,387954,20313,4915
290130,2,RISE ESG사회책임투자,60970,2,2240,3.81,60760.0,55.9066,2219789,134629,4878
480260,6,TIGER 27-04회사채(A+이상)액티브,53445,5,-5,-0.01,53453.0,0.1405,13252,708,4742
0190C0,2,RISE 현대차고정피지컬AI,15275,2,675,4.62,15094.0,,25242285,390226,4689
491620,4,RISE 미국테크100데일리고정커버드콜,12320,2,85,0.69,12273.0,26.5158,1168728,14458,4626
499660,7,TIGER CD금리플러스액티브(합성),1000495,2,170,0.02,1000495.0,0.7066,10962,10967,4607
490490,7,SOL 미국배당미국채혼합50,11820,5,-45,-0.38,11821.0,5.9708,419911,4990,4492
0052D0,2,TIGER 코리아배당다우존스,16645,2,230,1.4,16688.0,-5.7456,699251,11736,4411
307520,2,TIGER 지주회사,27340,2,1035,3.93,27307.0,16.6737,796313,22106,4347
270810,1,RISE 코스닥150,18310,5,-300,-1.61,18310.0,-10.9982,565651,10421,4328
267770,3,TIGER 200선물레버리지,172900,2,16275,10.39,173274.0,85.4977,135354,22294,4323
310960,1,TIGER 200TR,82585,2,4370,5.59,82109.0,41.604,121554,9948,4294
0016X0,6,SOL 중단기회사채(A-이상)액티브,51030,5,-5,-0.01,51011.0,0.1963,16060,819,4141
385550,6,RISE 단기채권알파액티브,113300,2,10,0.01,113298.0,0.6127,7119,806,4137
435420,7,TIGER 미국나스닥100채권혼합50,14885,2,45,0.3,14820.0,10.6456,663331,9903,4123
157500,2,TIGER 증권,18215,2,430,2.42,18158.0,-11.075,3287866,60506,4047
495230,1,KoAct 코리아밸류업액티브,40295,2,1210,3.1,40318.0,40.0703,339254,13605,4009
396520,4,TIGER 차이나반도체FACTSET,15230,5,-605,-3.82,15101.0,40.2568,1185026,18573,3990
132030,5,KODEX 골드선물(H),25530,5,-5,-0.02,25470.0,-13.9947,134445,3439,3983
0040Y0,7,SOL 팔란티어커버드콜OTM채권혼합,8680,2,70,0.81,8710.0,3.8329,1592095,13813,3971
0019K0,7,TIME 미국나스닥100채권혼합50액티브,14645,2,145,1.0,14544.0,22.6734,1241035,18207,3961
0144L0,4,KODEX 미국성장커버드콜액티브,10895,2,50,0.46,10860.0,20.6961,555403,6068,3960
148070,6,KIWOOM 국고채10년,104770,5,-670,-0.64,104740.0,-3.6286,16365,1719,3955
213610,2,KODEX 삼성그룹밸류,27640,2,1060,3.99,27542.0,41.1756,185964,5113,3953
279530,2,KODEX 고배당주,18105,2,270,1.51,18115.0,-6.047,718874,13090,3947
0060H0,1,TIGER 토탈월드스탁액티브,13770,2,80,0.58,13748.0,12.1028,207400,2871,3911
139230,2,TIGER 200 중공업,18050,2,220,1.23,18025.0,3.4222,869996,15935,3884
477050,6,PLUS 머니마켓액티브,53065,2,10,0.02,53062.0,0.7596,34975,1855,3880
478150,4,TIME 글로벌우주테크&방산액티브,24815,5,-560,-2.21,24943.0,13.1045,297241,7428,3834
453810,4,KODEX 인도Nifty50,12575,5,-50,-0.4,12626.0,-6.7119,357634,4512,3829
0162Y0,1,TIME 코스닥액티브,10360,5,-210,-1.99,10393.0,,1491990,15594,3823
