Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
299,073240,KR7073240004,금호타이어,KOSPI,,4700,2,-50,-1.05,4830,4935,4630,893870,4211614475,1350123348900,287260287,STK
300,007310,KR7007310006,오뚜기,KOSPI,,334000,2,-5000,-1.47,334500,342000,334000,5241,1760905750,1338615220000,4007830,STK
301,038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,12360,1,220,1.81,12330,12500,11870,1442646,17537365430,1333845542160,107916306,KSQ
302,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,16170,2,-970,-5.66,17350,17370,15850,852061,13810168050,1326673309500,82045350,KSQ
303,295310,KR7295310007,에이치브이엠,KOSDAQ,기술성장기업부,109800,2,-4500,-3.94,115900,115900,105300,189754,20721671400,1320596551800,12027291,KSQ
304,012630,KR7012630000,HDC,KOSPI,,22100,1,100,0.45,22000,22400,21050,141887,3070408600,1320292034100,59741721,STK
305,003530,KR7003530003,한화투자증권,KOSPI,,6120,2,-80,-1.29,6290,6390,6000,1804031,11041636040,1313032383000,214547775,STK
306,490470,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,38500,2,-1250,-3.14,40950,41450,37600,1125112,44103302375,1308995765000,33999890,KSQ
307,034230,KR7034230003,파라다이스,KOSPI,,14100,1,180,1.29,14080,14260,13550,478983,6654337005,1306074286200,92629382,STK
308,030610,KR7030610000,교보증권,KOSPI,,11400,2,-140,-1.21,11660,11690,11260,103936,1185726480,1299177755400,113962961,STK
309,491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,51900,2,-4800,-8.47,57700,57800,51600,423049,22386760100,1297727892900,25004391,KSQ
310,051915,KR7051911006,LG화학우,KOSPI,,167500,1,4600,2.82,163500,169000,158700,53527,8791894900,1287874000000,7688800,STK
311,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,45000,2,-200,-0.44,45100,45550,43450,206608,9143200300,1274845095000,28329891,KSQ
312,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,64000,2,-5400,-7.78,70700,71700,63500,512824,33093811850,1265771136000,19777674,KSQ
313,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,11280,2,-50,-0.44,11300,11470,10940,979245,10887773780,1263423404880,112005621,KSQ
314,085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,13470,2,-100,-0.74,13650,13670,13010,379834,5058129395,1252302505560,92969748,KSQ
315,090710,KR7090710005,휴림로봇,KOSDAQ,중견기업부,10440,2,-250,-2.34,10800,10870,10150,4084055,42314318585,1247133136680,119457197,KSQ
316,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,16760,1,100,0.6,16960,16960,15910,595044,9816157700,1246652979360,74382636,KSQ
317,281820,KR7281820001,케이씨텍,KOSPI,,62600,2,-3600,-5.44,67500,67700,61600,141881,8916613200,1239396178600,19798661,STK
318,093370,KR7093370005,후성,KOSPI,,11470,2,-420,-3.53,11930,11930,11170,2061958,23529917310,1230218635100,107255330,STK
319,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,21150,2,-1050,-4.73,22000,22800,20350,478187,10287424750,1223495055900,57848466,KSQ
320,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,44400,2,-300,-0.67,44500,46200,43550,211519,9438538675,1220287291200,27483948,KSQ
321,415640,KR7415640002,KB발해인프라,KOSPI,,9900,2,-70,-0.7,10240,10240,9790,108530,1070554940,1213200925200,122545548,STK
322,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,18390,2,-700,-3.67,19210,19310,17880,578129,10563703445,1208784777720,65730548,KSQ
323,458870,KR7458870003,씨어스,KOSDAQ,기술성장기업부,31750,1,250,0.79,31400,32000,29100,493532,15125095350,1208396745000,38059740,KSQ
324,439960,KR7439960006,코스모로보틱스,KOSDAQ,기술성장기업부,37100,2,-4200,-10.17,41550,43750,36650,2568798,99202923300,1191240412600,32108906,KSQ
325,082640,KR7082640004,동양생명,KOSPI,,7400,2,-90,-1.2,7490,7490,7150,198233,1437084590,1154863099400,156062581,STK
326,000210,KR7000210005,DL,KOSPI,,54300,2,-500,-0.91,55900,56100,50900,146736,7725002650,1137904501200,20955884,STK
327,089860,KR7089860001,롯데렌탈,KOSPI,,31250,2,-100,-0.32,31450,31600,30600,58852,1824061875,1134668375000,36309388,STK
328,000080,KR7000080002,하이트진로,KOSPI,,16020,2,-460,-2.79,16360,16450,16020,215838,3471570770,1123540448220,70133611,STK
