ticker,date,close_price,prev_close,price_change,price_change_percent,ma20,ma_distance_percent,ma_distance_points,ma_status,condition_1_trend_breakdown,last_ma20_break_below,last_ma20_break_above,days_below_ma20,rvol,rvol_strength,rvol_direction,rvol_change,condition_2_volume_confirmation,signal,signal_category,reasoning
HPSP,2025-12-30 19:00:00,33600,33500,100,0.2985074626865672,33157.5,1.3345396969011536,442.5,20일선 위 (근접),False,2025-12-24 09:00:00,2025-12-26 08:00:00,0,0.1531472862786184,매우 약함 (1.5배 미만),상승,0.11748164711051429,False,HOLD,정상 (신호 없음),"20일선 위, 거래량 부족"
HUGEL,2025-12-30 19:00:00,231000,230500,500,0.21691973969631237,228050.0,1.2935759701819776,2950.0,20일선 위 (근접),False,2025-12-26 09:00:00,2025-12-30 08:00:00,0,0.08998200359928014,매우 약함 (1.5배 미만),상승,0.06793295201054027,False,HOLD,정상 (신호 없음),"20일선 위, 거래량 부족"
LGENSOL,2025-12-30 19:00:00,370000,369000,1000,0.27100271002710025,372700.0,-0.7244432519452643,-2700.0,20일선 근처,True,2025-12-30 08:00:00,2025-12-29 18:00:00,12,0.30653859417068313,매우 약함 (1.5배 미만),상승,0.18823117689718322,False,HOLD,추세 하락만 (거래량 부족),"20일선 하회, 거래량 부족"
MAGEON,2025-12-30 19:00:00,90800,90600,200,0.22075055187637968,91105.0,-0.33477855221996594,-305.0,20일선 근처,True,2025-12-30 15:00:00,2025-12-26 09:00:00,5,0.1447478221535918,매우 약함 (1.5배 미만),상승,0.10534652877080289,False,HOLD,추세 하락만 (거래량 부족),"20일선 하회, 거래량 부족"
